"","id","CS","SB","ELO","Season","FIX ME","Name"
"289","slatj001",10,16,1055.90125799359,1979,NA,"Jim Slaton"
"290","soloe101",6,34,958.452802098247,1979,NA,"Eddie Solomon"
"291","sorel001",5,10,1009.14460351885,1979,NA,"Lary Sorensen"
"292","sosae101",6,3,1071.67451865716,1979,NA,"Elias Sosa"
"293","sotom001",4,9,975.287743684696,1979,NA,"Mario Soto"
"294","spild001",4,18,932.845180978765,1979,NA,"Dan Spillner"
"295","splip001",3,20,897.859170850014,1979,NA,"Paul Splittorff"
"296","stanb001",7,14,1004.26227164755,1979,NA,"Bob Stanley"
"297","stand101",3,5,1036.82109569655,1979,NA,"Don Stanhouse"
"298","stank101",0,1,991.778161235404,1979,NA,"Kevin Stanfield"
"299","steir101",2,6,996.232044165559,1979,NA,"Randy Stein"
"300","stews001",7,9,1042.48670558017,1979,NA,"Sammy Stewart"
"301","stied001",2,9,966.035190604023,1979,NA,"Dave Stieb"
"302","stodt001",2,5,993.421060210152,1979,NA,"Tim Stoddard"
"303","stons101",16,12,1124.10050184337,1979,NA,"Steve Stone"
"304","sutcr001",6,23,928.017812522119,1979,NA,"Rick Sutcliffe"
"305","suttb001",2,8,984.443193840099,1979,NA,"Bruce Sutter"
"306","suttd001",8,20,959.258597396851,1979,NA,"Don Sutton"
"307","swanc001",6,24,949.995116089417,1979,NA,"Craig Swan"
"308","sykeb101",2,11,954.249047779027,1979,NA,"Bob Sykes"
"309","tanaf001",3,9,982.463253663372,1979,NA,"Frank Tanana"
"310","taylb101",1,1,1010.22894785344,1979,NA,"Bruce Taylor"
"311","tekuk001",1,14,909.795374478719,1979,NA,"Kent Tekulve"
"312","tellt001",0,1,990.321193740977,1979,NA,"Tom Tellmann"
"313","thomr001",2,10,961.72377533064,1979,NA,"Roy Thomas"
"314","throg101",1,4,983.733462546365,1979,NA,"George Throop"
"315","tianl101",9,14,1067.24827210551,1979,NA,"Luis Tiant"
"316","tidrd001",3,9,1002.04548771922,1979,NA,"Dick Tidrow"
"317","tobid001",2,9,972.71285579011,1979,NA,"Dave Tobik"
"318","toddj101",1,1,1013.51608374255,1979,NA,"Jackson Todd"
"319","toddj102",3,9,996.795361869331,1979,NA,"Jim Todd"
"320","tomld001",2,1,1013.94903603122,1979,NA,"Dave Tomlin"
"321","torrm001",10,28,993.678191838354,1979,NA,"Mike Torrez"
"322","torrp101",1,0,1008.12610827142,1979,NA,"Pablo Torrealba"
"323","travb101",5,9,1012.43389527249,1979,NA,"Bill Travers"
"324","trous001",3,13,970.51856870937,1979,NA,"Steve Trout"
"325","tudoj001",0,3,976.19879658197,1979,NA,"John Tudor"
"326","twitw101",8,4,1098.08018123519,1979,NA,"Wayne Twitchell"
"327","undep101",4,7,1012.70820479008,1979,NA,"Pat Underwood"
"328","undet001",10,9,1087.49135748334,1979,NA,"Tom Underwood"
"329","urrej101",2,2,1013.51000430708,1979,NA,"John Urrea"
"330","vasqr101",1,0,1022.27344328372,1979,NA,"Rafael Vasquez"
"331","vuckp001",17,14,1113.20835297527,1979,NA,"Pete Vuckovich"
"332","waitr001",9,17,1028.6625494587,1979,NA,"Rick Waits"
"333","welcb001",5,6,1056.0992886331,1979,NA,"Bob Welch"
"334","white001",5,25,951.704369694889,1979,NA,"Ed Whitson"
"335","wilcm001",9,14,1059.93030613278,1979,NA,"Milt Wilcox"
"336","wilke102",4,5,1031.81516266086,1979,NA,"Eric Wilkins"
"337","willm101",0,2,1018.06974849515,1979,NA,"Mike Willis"
"338","willr101",3,7,996.154346894376,1979,NA,"Rick Williams"
"339","wirta101",1,1,1066.22544473135,1979,NA,"Alan Wirth"
"340","wiser101",10,24,993.639745582286,1979,NA,"Rick Wise"
"341","wortr101",7,15,989.326462869478,1979,NA,"Rich Wortham"
"342","wrigj103",0,3,997.48685575846,1979,NA,"Jim Wright"
"343","younk101",2,2,1046.01711758623,1979,NA,"Kip Young"
"344","zachp001",2,3,1008.41338309764,1979,NA,"Pat Zachry"
"345","zahng001",5,2,1113.12919121312,1979,NA,"Geoff Zahn"
